NSE_SYMBOL,COMPANY,TRACK,BEAR_ALPHA_SCORE,ENTRY_TRIGGERED,ENTRY_NOTE,REGIME,ACTIVE,TIER,COMPOSITE,Q_SCORE,G_SCORE,DIV_YIELD_PCT,BETA_PROXY,DRAWDOWN_PCT,FII_STABLE,VOLUME_SURGE_RATIO,INSIDER_BUY,CONVERTS_TO_WLC,AS_OF_DATE,RANK,TOP_N
RANEHOLDIN,RANE HOLDINGS,A,47.09,True,Track A Defensive | Div 3.6% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,100.0,19.0,15.0,3.56,0.0,0.0,True,1.0,False,False,2026-05-29,1,True
POWERICA,NAN,A,5.5,True,Track A Defensive | Div 0.0% | Beta -0.28 | Tier MONITOR,CAUTION,False,MONITOR,100.0,1.0,0.0,0.0,-0.283,-4.03,True,0.85,False,False,2026-05-29,2,True
KRISHANA,KRISHANA PHOSCH.,A,13.05,True,Track A Defensive | Div 0.1% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,96.0,20.0,14.0,0.1,0.0,0.0,True,1.0,False,False,2026-05-29,3,True
TIPSMUSIC,TIPS MUSIC,A,33.33,True,Track A Defensive | Div 2.1% | Beta 0.02 | Tier PRIME,CAUTION,False,PRIME,94.0,20.0,14.0,2.13,0.018,-3.66,True,0.85,False,False,2026-05-29,4,True
MAHABANK,BANK OF MAHA,A,27.42,True,Track A Defensive | Div 2.3% | Beta 0.03 | Tier STRONG,CAUTION,False,STRONG,93.0,5.0,13.0,2.29,0.027,-7.08,True,0.72,False,False,2026-05-29,5,True
PGIL,PEARL GLOBAL IND,A,20.24,True,Track A Defensive | Div 0.8% | Beta 0.06 | Tier STRONG,CAUTION,False,STRONG,92.0,20.0,9.0,0.82,0.062,-13.3,True,0.55,False,False,2026-05-29,6,True
MEDIASSIST,MEDI ASSIST SER.,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.02 | Tier STRONG,CAUTION,False,STRONG,92.0,20.0,12.0,0.0,0.016,-36.94,True,0.41,False,False,2026-05-29,7,True
KPEL,K.P. ENERGY,A,14.67,True,Track A Defensive | Div 0.3% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,91.0,20.0,13.0,0.27,0.0,0.0,True,1.0,False,False,2026-05-29,8,True
GESHIP,GE SHIPPING CO,A,29.96,True,Track A Defensive | Div 1.9% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,90.0,17.0,15.0,1.95,0.0,0.0,True,1.0,False,False,2026-05-29,9,True
POLYCAB,POLYCAB INDIA,A,16.87,True,Track A Defensive | Div 0.5% | Beta -0.03 | Tier PRIME,CAUTION,False,PRIME,90.0,20.0,15.0,0.49,-0.026,-1.93,True,0.84,False,False,2026-05-29,10,True
SOLARINDS,SOLAR INDUSTRIES,A,12.76,True,Track A Defensive | Div 0.1% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,90.0,20.0,15.0,0.08,0.0,0.0,True,1.0,False,False,2026-05-29,11,True
LUMAXTECH,LUMAX AUTO TECH.,A,15.49,True,Track A Defensive | Div 0.3% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,90.0,20.0,15.0,0.35,0.0,0.0,True,1.0,False,False,2026-05-29,12,True
SIGNPOST,SIGNPOST INDIA,A,12.13,True,Track A Defensive | Div 0.2% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,89.0,16.0,12.0,0.21,0.0,0.0,True,1.0,False,False,2026-05-29,13,True
ALGOQUANT,ALGOQUANT FIN,A,12.0,True,Track A Defensive | Div 0.0% | Beta -0.01 | Tier STRONG,CAUTION,False,STRONG,89.0,20.0,8.0,0.0,-0.012,-18.4,True,0.89,False,False,2026-05-29,14,True
ADANIPOWER,ADANI POWER,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.01 | Tier STRONG,CAUTION,False,STRONG,88.0,20.0,11.0,0.0,0.007,-2.23,True,1.82,False,False,2026-05-29,15,True
STYLAMIND,STYLAM INDUSTRIE,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.03 | Tier PRIME,CAUTION,False,PRIME,87.0,20.0,14.0,0.0,0.028,-0.79,True,0.31,False,False,2026-05-29,16,False
ENGINERSIN,ENGINEERS INDIA,A,38.11,True,Track A Defensive | Div 2.6% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,87.0,20.0,14.0,2.61,0.0,0.0,True,1.0,False,False,2026-05-29,17,False
ECOSMOBLTY,ECOS (INDIA),A,32.74,True,Track A Defensive | Div 2.1% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,87.0,20.0,13.0,2.07,0.0,0.0,True,1.0,False,False,2026-05-29,18,False
CANTABIL,CANTABIL RETAIL,A,15.64,True,Track A Defensive | Div 0.4% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,86.0,19.0,14.0,0.41,0.0,0.0,True,1.0,False,False,2026-05-29,19,False
HSCL,HIMADRI SPECIAL,A,13.33,True,Track A Defensive | Div 0.1% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,86.0,20.0,12.0,0.13,0.0,0.0,True,1.0,False,False,2026-05-29,20,False
SUMEETINDS,SUMEET INDUSTRIE,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,86.0,20.0,11.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,21,False
SKYGOLD,SKY GOLD & DIAM.,A,11.5,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier WATCHLIST_CONFIRMED,CAUTION,False,WATCHLIST_CONFIRMED,86.0,19.0,15.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,22,False
AMBUJACEM,AMBUJA CEMENTS,A,12.2,True,Track A Defensive | Div 0.5% | Beta 0.10 | Tier WATCHLIST_CONFIRMED,CAUTION,False,WATCHLIST_CONFIRMED,86.0,11.0,10.0,0.47,0.101,-27.83,True,1.05,False,False,2026-05-29,23,False
AIIL,AUTHUM INVEST,A,12.62,True,Track A Defensive | Div 0.1% | Beta -0.06 | Tier STRONG,CAUTION,False,STRONG,86.0,20.0,8.0,0.06,-0.063,-28.32,True,1.43,False,False,2026-05-29,24,False
IKS,INVENTURUS KNOWL,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,86.0,20.0,13.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,25,False
GABRIEL,GABRIEL INDIA,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,85.0,20.0,13.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,26,False
KALYANKJIL,KALYAN JEWELLERS,A,15.91,True,Track A Defensive | Div 0.4% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,85.0,20.0,15.0,0.39,0.0,0.0,True,1.0,False,False,2026-05-29,27,False
KKCL,KEWAL KIR.CLOTH.,A,16.15,True,Track A Defensive | Div 0.5% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,85.0,19.0,9.0,0.47,0.0,0.0,True,1.0,False,False,2026-05-29,28,False
SRM,SRM CONTRACTORS,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,85.0,20.0,13.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,29,False
TORNTPHARM,TORRENT PHARMA.,A,22.44,True,Track A Defensive | Div 0.7% | Beta -0.14 | Tier PRIME,CAUTION,False,PRIME,85.0,20.0,11.0,0.74,-0.143,-3.54,True,2.79,False,False,2026-05-29,30,False
ADANIPORTS,ADANI PORTS,A,16.61,True,Track A Defensive | Div 0.5% | Beta 0.12 | Tier PRIME,CAUTION,False,PRIME,85.0,19.0,13.0,0.51,0.125,-1.09,True,0.85,False,False,2026-05-29,31,False
ECLERX,ECLERX SERVICES,A,12.34,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,85.0,20.0,13.0,0.03,0.0,0.0,True,1.0,False,False,2026-05-29,32,False
NATCOPHARM,NATCO PHARMA,A,20.2,True,Track A Defensive | Div 0.5% | Beta -0.32 | Tier PRIME,CAUTION,False,PRIME,85.0,20.0,13.0,0.52,-0.315,-15.76,True,2.05,False,False,2026-05-29,33,False
SHRIPISTON,SHRIRAM PISTONS,A,15.42,True,Track A Defensive | Div 0.3% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,84.0,20.0,13.0,0.34,0.0,0.0,True,1.0,False,False,2026-05-29,34,False
REDTAPE,REDTAPE,A,14.12,True,Track A Defensive | Div 0.2% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,84.0,20.0,15.0,0.21,0.0,0.0,True,1.0,False,False,2026-05-29,35,False
LODHA,LODHA DEVELOPERS,A,15.75,True,Track A Defensive | Div 0.5% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,84.0,17.0,14.0,0.52,0.0,0.0,True,1.0,False,False,2026-05-29,36,False
ROHLTD,ROYAL ORCH.HOTEL,A,19.39,True,Track A Defensive | Div 0.8% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,84.0,19.0,13.0,0.79,0.0,0.0,True,1.0,False,False,2026-05-29,37,False
MAYURUNIQ,MAYUR UNIQUOTERS,A,21.82,True,Track A Defensive | Div 1.0% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,84.0,20.0,12.0,0.98,0.0,0.0,True,1.0,False,False,2026-05-29,38,False
DRCSYSTEMS,DRC SYSTEMS,A,12.0,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,84.0,20.0,15.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,39,False
ITDC,I T D C,A,18.76,True,Track A Defensive | Div 0.7% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,83.0,20.0,11.0,0.68,0.0,0.0,True,1.0,False,False,2026-05-29,40,False
ANTELOPUS,ANTELOPUS SELAN,A,9.0,True,Track A Defensive | Div 0.0% | Beta 0.00 | Tier WATCHLIST_CONFIRMED,CAUTION,False,WATCHLIST_CONFIRMED,83.0,14.0,13.0,0.0,0.0,0.0,True,1.0,False,False,2026-05-29,41,False
GANESHHOU,GANESH HOUSING,A,20.39,True,Track A Defensive | Div 0.8% | Beta 0.00 | Tier STRONG,CAUTION,False,STRONG,83.0,20.0,9.0,0.84,0.0,0.0,True,1.0,False,False,2026-05-29,42,False
CEMPRO,CEMINDIA PROJECT,A,15.67,True,Track A Defensive | Div 0.4% | Beta 0.00 | Tier PRIME,CAUTION,False,PRIME,83.0,20.0,15.0,0.37,0.0,0.0,True,1.0,False,False,2026-05-29,43,False
